tconst	Show Title	Hyperlink to Title
tt0450385	'1408	=HYPERLINK("https://www.imdb.com/title/tt0450385";"1408")
tt3149038	'A Brilliant Young Mind	=HYPERLINK("https://www.imdb.com/title/tt3149038";"A Brilliant Young Mind")
tt4058500	'A Perfect Man	=HYPERLINK("https://www.imdb.com/title/tt4058500";"A Perfect Man")
tt6644200	'A Quiet Place	=HYPERLINK("https://www.imdb.com/title/tt6644200";"A Quiet Place")
tt2194499	'About Time	=HYPERLINK("https://www.imdb.com/title/tt2194499";"About Time")
tt8905884	'Adult Material	=HYPERLINK("https://www.imdb.com/title/tt8905884";"Adult Material")
tt0457655	'After the Wedding	=HYPERLINK("https://www.imdb.com/title/tt0457655";"After the Wedding")
tt3640424	'Allied	=HYPERLINK("https://www.imdb.com/title/tt3640424";"Allied")
tt1961175	'American Assassin	=HYPERLINK("https://www.imdb.com/title/tt1961175";"American Assassin")
tt3581932	'And Then There Were None	=HYPERLINK("https://www.imdb.com/title/tt3581932";"And Then There Were None")
tt1431181	'Another Year	=HYPERLINK("https://www.imdb.com/title/tt1431181";"Another Year")
tt5336698	'Apple Tree Yard	=HYPERLINK("https://www.imdb.com/title/tt5336698";"Apple Tree Yard")
tt1831575	'Appropriate Adult	=HYPERLINK("https://www.imdb.com/title/tt1831575";"Appropriate Adult")
tt4428744	'Arne Dahl: Dödsmässa	=HYPERLINK("https://www.imdb.com/title/tt4428744";"Arne Dahl: Dödsmässa")
tt2094766	'Assassin's Creed	=HYPERLINK("https://www.imdb.com/title/tt2094766";"Assassin's Creed")
tt6402402	'Augury	=HYPERLINK("https://www.imdb.com/title/tt6402402";"Augury")
tt5258904	'B&B	=HYPERLINK("https://www.imdb.com/title/tt5258904";"B&B")
tt6258718	'Bad Banks	=HYPERLINK("https://www.imdb.com/title/tt6258718";"Bad Banks")
tt0372784	'Batman Begins	=HYPERLINK("https://www.imdb.com/title/tt0372784";"Batman Begins")
tt0762803	'BBC2 Playhouse	=HYPERLINK("https://www.imdb.com/title/tt0762803";"BBC2 Playhouse")
tt0907683	'Beck	=HYPERLINK("https://www.imdb.com/title/tt0907683";"Beck")
tt0416508	'Becoming Jane	=HYPERLINK("https://www.imdb.com/title/tt0416508";"Becoming Jane")
tt2638144	'Ben-Hur	=HYPERLINK("https://www.imdb.com/title/tt2638144";"Ben-Hur")
tt2782844	'Billionaire Ransom	=HYPERLINK("https://www.imdb.com/title/tt2782844";"Billionaire Ransom")
tt0249462	'Billy Elliot	=HYPERLINK("https://www.imdb.com/title/tt0249462";"Billy Elliot")
tt2737304	'Bird Box	=HYPERLINK("https://www.imdb.com/title/tt2737304";"Bird Box")
tt9495224	'Black Mirror: Bandersnatch	=HYPERLINK("https://www.imdb.com/title/tt9495224";"Black Mirror: Bandersnatch")
tt0442632	'Bleak House	=HYPERLINK("https://www.imdb.com/title/tt0442632";"Bleak House")
tt0296309	'Blind Justice	=HYPERLINK("https://www.imdb.com/title/tt0296309";"Blind Justice")
tt10334148	'Blithe Spirit	=HYPERLINK("https://www.imdb.com/title/tt10334148";"Blithe Spirit")
tt8425058	'Brexit	=HYPERLINK("https://www.imdb.com/title/tt8425058";"Brexit")
tt0412536	'Brideshead Revisited	=HYPERLINK("https://www.imdb.com/title/tt0412536";"Brideshead Revisited")
tt0101143	'British Men Behaving Badly	=HYPERLINK("https://www.imdb.com/title/tt0101143";"British Men Behaving Badly")
tt4276618	'C.B. Strike	=HYPERLINK("https://www.imdb.com/title/tt4276618";"C.B. Strike")
tt1983079	'Call the Midwife	=HYPERLINK("https://www.imdb.com/title/tt1983079";"Call the Midwife")
tt1718747	'Cannibal	=HYPERLINK("https://www.imdb.com/title/tt1718747";"Cannibal")
tt7379682	'Careful How You Go	=HYPERLINK("https://www.imdb.com/title/tt7379682";"Careful How You Go")
tt0103927	'Carry on Columbus	=HYPERLINK("https://www.imdb.com/title/tt0103927";"Carry on Columbus")
tt0381061	'Casino Royale	=HYPERLINK("https://www.imdb.com/title/tt0381061";"Casino Royale")
tt10399872	'Cesare	=HYPERLINK("https://www.imdb.com/title/tt10399872";"Cesare")
tt9131136	'Cheat	=HYPERLINK("https://www.imdb.com/title/tt9131136";"Cheat")
tt1014763	'Child 44	=HYPERLINK("https://www.imdb.com/title/tt1014763";"Child 44")
tt1661199	'Cinderella	=HYPERLINK("https://www.imdb.com/title/tt1661199";"Cinderella")
tt0168596	'Cold Feet	=HYPERLINK("https://www.imdb.com/title/tt0168596";"Cold Feet")
tt0159365	'Cold Mountain	=HYPERLINK("https://www.imdb.com/title/tt0159365";"Cold Mountain")
tt2224119	'Complicit	=HYPERLINK("https://www.imdb.com/title/tt2224119";"Complicit")
tt0106598	'Coneheads	=HYPERLINK("https://www.imdb.com/title/tt0106598";"Coneheads")
tt3530978	'Correspondence	=HYPERLINK("https://www.imdb.com/title/tt3530978";"Correspondence")
tt1717152	'Cracks in the Shell	=HYPERLINK("https://www.imdb.com/title/tt1717152";"Cracks in the Shell")
tt9348692	'Criminal: UK	=HYPERLINK("https://www.imdb.com/title/tt9348692";"Criminal: UK")
tt2427220	'Crossing Lines	=HYPERLINK("https://www.imdb.com/title/tt2427220";"Crossing Lines")
tt0284978	'Cypher	=HYPERLINK("https://www.imdb.com/title/tt0284978";"Cypher")
tt0795368	'Death at a Funeral	=HYPERLINK("https://www.imdb.com/title/tt0795368";"Death at a Funeral")
tt0436992	'Doctor Who	=HYPERLINK("https://www.imdb.com/title/tt0436992";"Doctor Who")
tt0241383	'Doctors	=HYPERLINK("https://www.imdb.com/title/tt0241383";"Doctors")
tt0374627	'Double zéro	=HYPERLINK("https://www.imdb.com/title/tt0374627";"Double zéro")
tt1606375	'Downton Abbey	=HYPERLINK("https://www.imdb.com/title/tt1606375";"Downton Abbey")
tt9139220	'Dracula	=HYPERLINK("https://www.imdb.com/title/tt9139220";"Dracula")
tt0303453	'Eisai to tairi mou	=HYPERLINK("https://www.imdb.com/title/tt0303453";"Eisai to tairi mou")
tt2336265	'El otro	=HYPERLINK("https://www.imdb.com/title/tt2336265";"El otro")
tt0188583	'Elephant Juice	=HYPERLINK("https://www.imdb.com/title/tt0188583";"Elephant Juice")
tt3579018	'Emerald City	=HYPERLINK("https://www.imdb.com/title/tt3579018";"Emerald City")
tt0116191	'Emma	=HYPERLINK("https://www.imdb.com/title/tt0116191";"Emma")
tt9214832	'Emma.	=HYPERLINK("https://www.imdb.com/title/tt9214832";"Emma.")
tt2719848	'Everest	=HYPERLINK("https://www.imdb.com/title/tt2719848";"Everest")
tt1528100	'Exodus: Gods and Kings	=HYPERLINK("https://www.imdb.com/title/tt1528100";"Exodus: Gods and Kings")
tt0477302	'Extremely Loud & Incredibly Close	=HYPERLINK("https://www.imdb.com/title/tt0477302";"Extremely Loud & Incredibly Close")
tt0137523	'Fight Club	=HYPERLINK("https://www.imdb.com/title/tt0137523";"Fight Club")
tt3014910	'Finding Altamira	=HYPERLINK("https://www.imdb.com/title/tt3014910";"Finding Altamira")
tt1213641	'First Man	=HYPERLINK("https://www.imdb.com/title/tt1213641";"First Man")
tt3507484	'Flesh and Bone	=HYPERLINK("https://www.imdb.com/title/tt3507484";"Flesh and Bone")
tt0377062	'Flight of the Phoenix	=HYPERLINK("https://www.imdb.com/title/tt0377062";"Flight of the Phoenix")
tt1950186	'Ford v Ferrari	=HYPERLINK("https://www.imdb.com/title/tt1950186";"Ford v Ferrari")
tt1341167	'Four Lions	=HYPERLINK("https://www.imdb.com/title/tt1341167";"Four Lions")
tt6928052	'Free Rein	=HYPERLINK("https://www.imdb.com/title/tt6928052";"Free Rein")
tt0870111	'Frost/Nixon	=HYPERLINK("https://www.imdb.com/title/tt0870111";"Frost/Nixon")
tt0765451	'Fugitive Pieces	=HYPERLINK("https://www.imdb.com/title/tt0765451";"Fugitive Pieces")
tt0944947	'Game of Thrones	=HYPERLINK("https://www.imdb.com/title/tt0944947";"Game of Thrones")
tt0104348	'Glengarry Glen Ross	=HYPERLINK("https://www.imdb.com/title/tt0104348";"Glengarry Glen Ross")
tt5635086	'God's Own Country	=HYPERLINK("https://www.imdb.com/title/tt5635086";"God's Own Country")
tt0280707	'Gosford Park	=HYPERLINK("https://www.imdb.com/title/tt0280707";"Gosford Park")
tt3747572	'Grantchester	=HYPERLINK("https://www.imdb.com/title/tt3747572";"Grantchester")
tt3896198	'Guardians of the Galaxy Vol. 2	=HYPERLINK("https://www.imdb.com/title/tt3896198";"Guardians of the Galaxy Vol. 2")
tt0111993	'Hamish Macbeth	=HYPERLINK("https://www.imdb.com/title/tt0111993";"Hamish Macbeth")
tt0993842	'Hanna	=HYPERLINK("https://www.imdb.com/title/tt0993842";"Hanna")
tt3428912	'Happy Valley	=HYPERLINK("https://www.imdb.com/title/tt3428912";"Happy Valley")
tt0162360	'Happy, Texas	=HYPERLINK("https://www.imdb.com/title/tt0162360";"Happy, Texas")
tt0358319	'Hardware	=HYPERLINK("https://www.imdb.com/title/tt0358319";"Hardware")
tt0373889	'Harry Potter and the Order of the Phoenix	=HYPERLINK("https://www.imdb.com/title/tt0373889";"Harry Potter and the Order of the Phoenix")
tt8758198	'Hero	=HYPERLINK("https://www.imdb.com/title/tt8758198";"Hero")
tt0462335	'High-Rise	=HYPERLINK("https://www.imdb.com/title/tt0462335";"High-Rise")
tt8151874	'Honey Boy	=HYPERLINK("https://www.imdb.com/title/tt8151874";"Honey Boy")
tt0425112	'Hot Fuzz	=HYPERLINK("https://www.imdb.com/title/tt0425112";"Hot Fuzz")
tt0412142	'House	=HYPERLINK("https://www.imdb.com/title/tt0412142";"House")
tt1856010	'House of Cards	=HYPERLINK("https://www.imdb.com/title/tt1856010";"House of Cards")
tt1477855	'Hyde Park on Hudson	=HYPERLINK("https://www.imdb.com/title/tt1477855";"Hyde Park on Hudson")
tt1340107	'In a Better World	=HYPERLINK("https://www.imdb.com/title/tt1340107";"In a Better World")
tt1226774	'In the Loop	=HYPERLINK("https://www.imdb.com/title/tt1226774";"In the Loop")
tt8822392	'Inheritance	=HYPERLINK("https://www.imdb.com/title/tt8822392";"Inheritance")
tt13093266	'Intelligent Design	=HYPERLINK("https://www.imdb.com/title/tt13093266";"Intelligent Design")
tt5178604	'Jericho	=HYPERLINK("https://www.imdb.com/title/tt5178604";"Jericho")
tt7549996	'Judy	=HYPERLINK("https://www.imdb.com/title/tt7549996";"Judy")
tt7584040	'Just Drive	=HYPERLINK("https://www.imdb.com/title/tt7584040";"Just Drive")
tt7016936	'Killing Eve	=HYPERLINK("https://www.imdb.com/title/tt7016936";"Killing Eve")
tt3323026	'Kindred Spirits	=HYPERLINK("https://www.imdb.com/title/tt3323026";"Kindred Spirits")
tt1972591	'King Arthur: Legend of the Sword	=HYPERLINK("https://www.imdb.com/title/tt1972591";"King Arthur: Legend of the Sword")
tt0434124	'Kinky Boots	=HYPERLINK("https://www.imdb.com/title/tt0434124";"Kinky Boots")
tt5730690	'Kiss Me First	=HYPERLINK("https://www.imdb.com/title/tt5730690";"Kiss Me First")
tt0325703	'Lara Croft Tomb Raider: The Cradle of Life	=HYPERLINK("https://www.imdb.com/title/tt0325703";"Lara Croft Tomb Raider: The Cradle of Life")
tt0107362	'Last Action Hero	=HYPERLINK("https://www.imdb.com/title/tt0107362";"Last Action Hero")
tt1893273	'Last Letter from Your Lover	=HYPERLINK("https://www.imdb.com/title/tt1893273";"Last Letter from Your Lover")
tt9639470	'Last Night in Soho	=HYPERLINK("https://www.imdb.com/title/tt9639470";"Last Night in Soho")
tt4695264	'Lawrence: After Arabia	=HYPERLINK("https://www.imdb.com/title/tt4695264";"Lawrence: After Arabia")
tt1707386	'Les Misérables	=HYPERLINK("https://www.imdb.com/title/tt1707386";"Les Misérables")
tt6021284	'Liar	=HYPERLINK("https://www.imdb.com/title/tt6021284";"Liar")
tt0815190	'Like Chef, Like God	=HYPERLINK("https://www.imdb.com/title/tt0815190";"Like Chef, Like God")
tt8197340	'Little Bastards	=HYPERLINK("https://www.imdb.com/title/tt8197340";"Little Bastards")
tt8254518	'Lolito	=HYPERLINK("https://www.imdb.com/title/tt8254518";"Lolito")
tt3300542	'London Has Fallen	=HYPERLINK("https://www.imdb.com/title/tt3300542";"London Has Fallen")
tt0108840	'Love Hurts	=HYPERLINK("https://www.imdb.com/title/tt0108840";"Love Hurts")
tt0472642	'Love in Difficult Times	=HYPERLINK("https://www.imdb.com/title/tt0472642";"Love in Difficult Times")
tt1854236	'Love Is All You Need	=HYPERLINK("https://www.imdb.com/title/tt1854236";"Love Is All You Need")
