Person	Show Title	Episode Title	Rank	Job	Character Name
Adeel Akhtar	The Night Manager		09	actor	Rob Singhal
Alexis Georgoulis	The Durrells		06	actor	Spiros Halikiopoulos
Alistair Petrie	The Night Manager	Episode #1.5	03	actor	Sandy Langbourne
Alistair Petrie	The Night Manager		06	actor	Sandy Langbourne
Amy Jenkins	The Crown	Beryl	07	writer	
Andrew G. Ogleby	The Crown	Episode #4.5	10	actor	Aide To Margaret Thatcher
Anna Savva	The Durrells		08	actress	Lugaretzia
Antonio de la Torre	The Night Manager	Episode #1.3	04	actor	Juan Apostol
Ben Daniels	The Crown	Aberfan	04	actor	Lord Snowdon
Ben Daniels	The Crown	Cri de Coeur	04	actor	Lord Snowdon
Ben Daniels	The Crown	Imbroglio	04	actor	Lord Snowdon
Ben Daniels	The Crown	Margaretology	04	actor	Lord Snowdon
Ben Daniels	The Crown	Moondust	04	actor	Lord Snowdon
Ben Daniels	The Crown	Olding	04	actor	Lord Snowdon
Ben Daniels	The Crown	Tywysog Cymru	04	actor	Lord Snowdon
Benjamin Caron	The Crown	Aberfan	05	director	
Benjamin Caron	The Crown	Assassins	05	director	
Benjamin Caron	The Crown	Beryl	05	director	
Benjamin Caron	The Crown	Bubbikins	05	director	
Benjamin Caron	The Crown	Episode #4.1	05	director	
Benjamin Caron	The Crown	Episode #4.3	05	director	
Benjamin Caron	The Crown	Margaretology	05	director	
Benjamin Caron	The Crown	Matrimonium	05	director	
Benjamin Caron	The Crown	Mystery Man	05	director	
Benjamin Caron	The Crown	Olding	05	director	
Benjamin Caron	The Crown	Scientia Potentia Est	05	director	
Callum Woodhouse	The Durrells		05	actor	Leslie Durrell
Charles Dance	The Crown	Coup	04	actor	Lord Mountbatten
Christian Schwochow	The Crown	Coup	05	director	
Christian Schwochow	The Crown	Tywysog Cymru	05	director	
Claire Foy	The Crown		01	actress	Queen Elizabeth II, Princess Elizabeth
Claire Foy	The Crown	A Company of Men	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Act of God	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Assassins	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Beryl	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Dear Mrs. Kennedy	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Gelignite	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Gloriana	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Hyde Park Corner	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Lisbon	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Marionettes	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Matrimonium	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Misadventure	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Mystery Man	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Paterfamilias	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Pride & Joy	01	actress	Queen Elizabeth II
