Person	Show Title	Episode Title	Rank	Job	Character Name
Claire Foy	The Crown		01	actress	Queen Elizabeth II, Princess Elizabeth
Olivia Colman	The Crown		02	actress	Queen Elizabeth II
Imelda Staunton	The Crown		03	actress	Queen Elizabeth II
Matt Smith	The Crown		04	actor	Philip, Duke of Edinburgh, Prince Philip, Duke of Edinburgh
Peter Morgan	The Crown		05	writer	
Tobias Menzies	The Crown		06	actor	Philip, Duke of Edinburgh, Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown		07	actress	Princess Margaret
Victoria Hamilton	The Crown		08	actress	Queen Elizabeth the Queen Mother, Queen Elizabeth The Queen Mother, Queen Elizabeth
Vanessa Kirby	The Crown		09	actress	Princess Margaret
Pip Torrens	The Crown		10	actor	Tommy Lascelles
Claire Foy	The Crown	A Company of Men	01	actress	Queen Elizabeth II
Matt Smith	The Crown	A Company of Men	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	A Company of Men	03	actress	Queen Elizabeth the Queen Mother
Vanessa Kirby	The Crown	A Company of Men	04	actress	Princess Margaret
Philip Martin	The Crown	A Company of Men	05	director	
Peter Morgan	The Crown	A Company of Men	06	writer	
Edward Hemming	The Crown	A Company of Men	07	writer	
Laura Deeley	The Crown	A Company of Men	08	writer	
Olivia Colman	The Crown	Aberfan	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Aberfan	02	actor	Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown	Aberfan	03	actress	Princess Margaret
Ben Daniels	The Crown	Aberfan	04	actor	Lord Snowdon
Benjamin Caron	The Crown	Aberfan	05	director	
Peter Morgan	The Crown	Aberfan	06	writer	
Jonathan Wilson	The Crown	Aberfan	07	writer	
Jon Brittain	The Crown	Aberfan	08	writer	
Edward Hemming	The Crown	Aberfan	09	writer	
Claire Foy	The Crown	Act of God	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Act of God	02	actor	Philip, Duke of Edinburgh
Vanessa Kirby	The Crown	Act of God	03	actress	Princess Margaret
Eileen Atkins	The Crown	Act of God	04	actress	Queen Mary
Julian Jarrold	The Crown	Act of God	05	director	
Peter Morgan	The Crown	Act of God	06	writer	
Duncan Macmillan	The Crown	Act of God	07	writer	
Edward Hemming	The Crown	Act of God	08	writer	
Claire Foy	The Crown	Assassins	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Assassins	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Assassins	03	actress	Queen Elizabeth the Queen Mother
Vanessa Kirby	The Crown	Assassins	04	actress	Princess Margaret
Benjamin Caron	The Crown	Assassins	05	director	
Peter Morgan	The Crown	Assassins	06	writer	
Nick Payne	The Crown	Assassins	07	writer	
Edward Hemming	The Crown	Assassins	08	writer	
Claire Foy	The Crown	Beryl	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Beryl	02	actor	Prince Philip, Duke of Edinburgh
Vanessa Kirby	The Crown	Beryl	03	actress	Princess Margaret
Victoria Hamilton	The Crown	Beryl	04	actress	Queen Elizabeth the Queen Mother
Benjamin Caron	The Crown	Beryl	05	director	
Peter Morgan	The Crown	Beryl	06	writer	
Amy Jenkins	The Crown	Beryl	07	writer	
Edward Hemming	The Crown	Beryl	08	writer	
Laura Deeley	The Crown	Beryl	09	writer	
Olivia Colman	The Crown	Bubbikins	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Bubbikins	02	actor	Prince Philip, Duke of Edinburgh
Jane Lapotaire	The Crown	Bubbikins	03	actress	Princess Alice
Erin Doherty	The Crown	Bubbikins	04	actress	Princess Anne
Benjamin Caron	The Crown	Bubbikins	05	director	
Peter Morgan	The Crown	Bubbikins	06	writer	
Jonathan Wilson	The Crown	Bubbikins	07	writer	
Jon Brittain	The Crown	Bubbikins	08	writer	
Edward Hemming	The Crown	Bubbikins	09	writer	
Olivia Colman	The Crown	Coup	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Coup	02	actor	Prince Philip, Duke of Edinburgh
Marion Bailey	The Crown	Coup	03	actress	Queen Elizabeth the Queen Mother
Charles Dance	The Crown	Coup	04	actor	Lord Mountbatten
Christian Schwochow	The Crown	Coup	05	director	
Peter Morgan	The Crown	Coup	06	writer	
Jonathan Wilson	The Crown	Coup	07	writer	
Jon Brittain	The Crown	Coup	08	writer	
Edward Hemming	The Crown	Coup	09	writer	
Olivia Colman	The Crown	Cri de Coeur	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Cri de Coeur	02	actor	Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown	Cri de Coeur	03	actress	Princess Margaret
Ben Daniels	The Crown	Cri de Coeur	04	actor	Lord Snowdon
Jessica Hobbs	The Crown	Cri de Coeur	05	director	
Peter Morgan	The Crown	Cri de Coeur	06	writer	
Jonathan Wilson	The Crown	Cri de Coeur	07	writer	
Jon Brittain	The Crown	Cri de Coeur	08	writer	
Edward Hemming	The Crown	Cri de Coeur	09	writer	
Olivia Colman	The Crown	Dangling Man	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Dangling Man	02	actor	Prince Philip, Duke of Edinburgh
Marion Bailey	The Crown	Dangling Man	03	actress	Queen Elizabeth the Queen Mother
Josh O'Connor	The Crown	Dangling Man	04	actor	Prince Charles
Samuel Donovan	The Crown	Dangling Man	05	director	
Peter Morgan	The Crown	Dangling Man	06	writer	
David Hancock	The Crown	Dangling Man	07	writer	
Jonathan Wilson	The Crown	Dangling Man	08	writer	
Jon Brittain	The Crown	Dangling Man	09	writer	
Edward Hemming	The Crown	Dangling Man	10	writer	
Claire Foy	The Crown	Dear Mrs. Kennedy	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Dear Mrs. Kennedy	02	actor	Prince Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Dear Mrs. Kennedy	03	actress	Queen Elizabeth the Queen Mother
Vanessa Kirby	The Crown	Dear Mrs. Kennedy	04	actress	Princess Margaret
Stephen Daldry	The Crown	Dear Mrs. Kennedy	05	director	
Peter Morgan	The Crown	Dear Mrs. Kennedy	06	writer	
Edward Hemming	The Crown	Dear Mrs. Kennedy	07	writer	
Laura Deeley	The Crown	Dear Mrs. Kennedy	08	writer	
Olivia Colman	The Crown	Episode #4.1	01	actress	Queen Elizabeth II
Helena Bonham Carter	The Crown	Episode #4.1	02	actress	Princess Margaret
Gillian Anderson	The Crown	Episode #4.1	03	actress	Margaret Thatcher
Tobias Menzies	The Crown	Episode #4.1	04	actor	Philip, Duke of Edinburgh
Benjamin Caron	The Crown	Episode #4.1	05	director	
Peter Morgan	The Crown	Episode #4.1	06	writer	
Josh O'Connor	The Crown	Episode #4.1	08	actor	Prince Charles
Emma Corrin	The Crown	Episode #4.1	09	actress	Lady Diana Spencer
Emerald Fennell	The Crown	Episode #4.1	10	actress	Camilla Shand
Olivia Colman	The Crown	Episode #4.10	01	actress	Queen Elizabeth II
Gillian Anderson	The Crown	Episode #4.10	02	actress	Margaret Thatcher
Helena Bonham Carter	The Crown	Episode #4.10	03	actress	Princess Margaret
Emma Corrin	The Crown	Episode #4.10	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #4.10	05	writer	
Erin Doherty	The Crown	Episode #4.10	06	actress	Princess Anne
Duncan Duff	The Crown	Episode #4.10	07	actor	Cecil Parkinson
Freddie Fox	The Crown	Episode #4.10	08	actor	Mark Thatcher
Tuncay Gunes	The Crown	Episode #4.10	09	actor	
Tobias Menzies	The Crown	Episode #4.10	10	actor	Philip, Duke of Edinburgh
Olivia Colman	The Crown	Episode #4.2	01	actress	Queen Elizabeth II
Gillian Anderson	The Crown	Episode #4.2	02	actress	Margaret Thatcher
Colin Blyth	The Crown	Episode #4.2	03	actor	Goverment Minister (Wet)
Helena Bonham Carter	The Crown	Episode #4.2	04	actress	Princess Margaret
Peter Morgan	The Crown	Episode #4.2	05	writer	
Emma Corrin	The Crown	Episode #4.2	07	actress	Princess Diana
Erin Doherty	The Crown	Episode #4.2	08	actress	Princess Anne
Tobias Menzies	The Crown	Episode #4.2	09	actor	Philip, Duke of Edinburgh
Josh O'Connor	The Crown	Episode #4.2	10	actor	Prince Charles
Olivia Colman	The Crown	Episode #4.3	01	actress	Queen Elizabeth II
Gillian Anderson	The Crown	Episode #4.3	02	actress	Margaret Thatcher
Colin Blyth	The Crown	Episode #4.3	03	actor	Goverment Minister (Wet)
Helena Bonham Carter	The Crown	Episode #4.3	04	actress	Princess Margaret
Benjamin Caron	The Crown	Episode #4.3	05	director	
Peter Morgan	The Crown	Episode #4.3	06	writer	
Emma Corrin	The Crown	Episode #4.3	08	actress	Princess Diana
Erin Doherty	The Crown	Episode #4.3	09	actress	Princess Anne
Freddie Fox	The Crown	Episode #4.3	10	actor	Mark Thatcher
Olivia Colman	The Crown	Episode #4.4	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Episode #4.4	02	actor	Philip, Duke of Edinburgh
Josh O'Connor	The Crown	Episode #4.4	03	actor	Prince Charles
Emma Corrin	The Crown	Episode #4.4	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #4.4	05	writer	
Helena Bonham Carter	The Crown	Episode #4.4	07	actress	Princess Margaret
Edward Wolstenholme	The Crown	Episode #4.4	08	actor	Edwards
Gillian Anderson	The Crown	Episode #4.4	09	actress	Margaret Thatcher
Karina Beuthe Orr	The Crown	Episode #4.4	10	actress	Anne-Charlotte Verney
Olivia Colman	The Crown	Episode #4.5	01	actress	Queen Elizabeth II
Gillian Anderson	The Crown	Episode #4.5	02	actress	Margaret Thatcher
Helena Bonham Carter	The Crown	Episode #4.5	03	actress	Princess Margaret
Emma Corrin	The Crown	Episode #4.5	04	actress	Lady Diana Spencer
Peter Morgan	The Crown	Episode #4.5	05	writer	
Erin Doherty	The Crown	Episode #4.5	06	actress	Princess Anne
Freddie Fox	The Crown	Episode #4.5	07	actor	Mark Thatcher
Tobias Menzies	The Crown	Episode #4.5	08	actor	Philip, Duke of Edinburgh
Josh O'Connor	The Crown	Episode #4.5	09	actor	Prince Charles
Andrew G. Ogleby	The Crown	Episode #4.5	10	actor	Aide To Margaret Thatcher
Olivia Colman	The Crown	Episode #4.6	01	actress	Queen Elizabeth II
Gillian Anderson	The Crown	Episode #4.6	02	actress	Margaret Thatcher
Helena Bonham Carter	The Crown	Episode #4.6	03	actress	Princess Margaret
Emma Corrin	The Crown	Episode #4.6	04	actress	Princess Diana
Julian Jarrold	The Crown	Episode #4.6	05	director	
Peter Morgan	The Crown	Episode #4.6	06	writer	
Erin Doherty	The Crown	Episode #4.6	08	actress	Princess Anne
Freddie Fox	The Crown	Episode #4.6	09	actor	Mark Thatcher
Tobias Menzies	The Crown	Episode #4.6	10	actor	Philip, Duke of Edinburgh
