Show Title	Show Type	Show or Episode Title	Sn_#	Ep_#	Start	End	Minutes	Genres
The Crown	tvSeries	The Crown			2016		58	Drama, History
The Crown	tvEpisode	Wolferton Splash	1	1	2016		56	Drama,History
The Crown	tvEpisode	Hyde Park Corner	1	2	2016		61	Drama,History
The Crown	tvEpisode	Windsor	1	3	2016		59	Drama,History
The Crown	tvEpisode	Act of God	1	4	2016		57	Drama,History
The Crown	tvEpisode	Smoke and Mirrors	1	5	2016		55	Drama,History
The Crown	tvEpisode	Gelignite	1	6	2016		58	Drama,History
The Crown	tvEpisode	Scientia Potentia Est	1	7	2016		58	Drama,History
The Crown	tvEpisode	Pride & Joy	1	8	2016		58	Drama,History
The Crown	tvEpisode	Assassins	1	9	2016		60	Drama,History
The Crown	tvEpisode	Gloriana	1	10	2016		54	Drama,History
The Crown	tvEpisode	Misadventure	2	1	2017		56	Drama,History
The Crown	tvEpisode	A Company of Men	2	2	2017		54	Drama,History
The Crown	tvEpisode	Lisbon	2	3	2017		56	Drama,History
The Crown	tvEpisode	Beryl	2	4	2017		60	Drama,History
The Crown	tvEpisode	Marionettes	2	5	2017		61	Drama,History
The Crown	tvEpisode	Vergangenheit	2	6	2017		61	Drama,History
The Crown	tvEpisode	Matrimonium	2	7	2017		60	Drama,History
The Crown	tvEpisode	Dear Mrs. Kennedy	2	8	2017		57	Drama,History
The Crown	tvEpisode	Paterfamilias	2	9	2017		60	Drama,History
The Crown	tvEpisode	Mystery Man	2	10	2017		59	Drama,History
The Crown	tvEpisode	Olding	3	1	2019		48	Drama,History
The Crown	tvEpisode	Margaretology	3	2	2019		48	Drama,History
The Crown	tvEpisode	Aberfan	3	3	2019		55	Drama,History
The Crown	tvEpisode	Bubbikins	3	4	2019		60	Drama,History
The Crown	tvEpisode	Coup	3	5	2019		57	Drama,History
The Crown	tvEpisode	Tywysog Cymru	3	6	2019		56	Drama,History
The Crown	tvEpisode	Moondust	3	7	2019		56	Drama,History
The Crown	tvEpisode	Dangling Man	3	8	2019		47	Drama,History
The Crown	tvEpisode	Imbroglio	3	9	2019		47	Drama,History
The Crown	tvEpisode	Cri de Coeur	3	10	2019		59	Drama,History
The Crown	tvEpisode	Episode #4.1	4	1	2020			Drama,History
The Crown	tvEpisode	Episode #4.2	4	2	2020			
The Crown	tvEpisode	Episode #4.3	4	3	2020			Drama,History
The Crown	tvEpisode	Episode #4.4	4	4	2020			Drama,History
The Crown	tvEpisode	Episode #4.5	4	5	2020			Drama,History
The Crown	tvEpisode	Episode #4.6	4	6	2020			Drama,History
The Crown	tvEpisode	Episode #4.7	4	7	2020			
The Crown	tvEpisode	Episode #4.8	4	8	2020			
The Crown	tvEpisode	Episode #4.9	4	9	2020			Drama,History
The Crown	tvEpisode	Episode #4.10	4	10	2020			Drama,History
The Crown	tvEpisode	Episode #5.1	5	1				Drama,History
The Crown	tvEpisode	Episode #5.2	5	2				Drama,History
The Crown	tvEpisode	Episode #5.3	5	3				Drama,History
The Crown	tvEpisode	Episode #5.4	5	4				Drama,History
The Crown	tvEpisode	Episode #5.5	5	5				Drama,History
The Crown	tvEpisode	Episode #5.6	5	6				Drama,History
The Crown	tvEpisode	Episode #5.7	5	7				Drama,History
The Crown	tvEpisode	Episode #5.8	5	8				Drama,History
The Crown	tvEpisode	Episode #5.9	5	9				Drama,History
The Crown	tvEpisode	Episode #5.10	5	10				Drama,History
The Crown	tvEpisode	Episode #6.1	6	1				Drama,History
The Crown	tvEpisode	Episode #6.2	6	2				Drama,History
The Crown	tvEpisode	Episode #6.3	6	3				Drama,History
The Crown	tvEpisode	Episode #6.4	6	4				Drama,History
The Crown	tvEpisode	Episode #6.5	6	5				Drama,History
The Crown	tvEpisode	Episode #6.6	6	6				Drama,History
The Crown	tvEpisode	Episode #6.7	6	7				Drama,History
The Crown	tvEpisode	Episode #6.8	6	8				Drama,History
The Crown	tvEpisode	Episode #6.9	6	9				Drama,History
The Crown	tvEpisode	Episode #6.10	6	10				Drama,History
The Durrells	tvSeries	The Durrells			2016	2019	46	Biography, Comedy, Drama
The Durrells	tvEpisode	Episode #1.1	1	1	2016		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #1.2	1	2	2016		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #1.3	1	3	2016		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #1.4	1	4	2016		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #1.5	1	5	2016		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #1.6	1	6	2016		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #2.1	2	1	2017		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #2.2	2	2	2017		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #2.3	2	3	2017		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #2.4	2	4	2017		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #2.5	2	5	2017		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #2.6	2	6	2017		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #3.1	3	1	2018		45	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #3.2	3	2	2018		46	
The Durrells	tvEpisode	Episode #3.3	3	3	2018		46	
The Durrells	tvEpisode	Episode #3.4	3	4	2018		47	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #3.5	3	5	2018		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #3.6	3	6	2018			Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #3.7	3	7	2018		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #3.8	3	8	2018		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #4.1	4	1	2019		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #4.2	4	2	2019			Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #4.3	4	3	2019			Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #4.4	4	4	2019		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #4.5	4	5	2019		46	Biography,Comedy,Drama
The Durrells	tvEpisode	Episode #4.6	4	6	2019		46	Biography,Comedy,Drama
The Night Manager	tvMiniSeries	The Night Manager			2016	2016	358	Crime, Drama, Mystery
The Night Manager	tvEpisode	Episode #1.1	1	1	2016		60	Crime,Drama,Mystery
The Night Manager	tvEpisode	Episode #1.2	1	2	2016		57	Crime,Drama,Mystery
The Night Manager	tvEpisode	Episode #1.3	1	3	2016		60	Crime,Drama,Mystery
The Night Manager	tvEpisode	Episode #1.4	1	4	2016		60	Crime,Drama,Mystery
The Night Manager	tvEpisode	Episode #1.5	1	5	2016		59	Crime,Drama,Mystery
The Night Manager	tvEpisode	Episode #1.6	1	6	2016		62	Crime,Drama,Mystery
